city,latitude,longitude,population
'兰州',103.73, 36.03,3.61
'西宁',101.74, 36.56,2.2
'成都',104.06, 30.67,14.05
'石家庄',114.48, 38.03,10.16
'拉萨',102.73, 25.04,0.56
'贵阳',106.71, 26.57,4.32
'武汉',114.31, 30.52,9.79
'郑州',113.65, 34.76,8.63
'济南',117, 36.65,6.81
'南京',118.78, 32.04,8.0
'合肥',117.27, 31.86,5.7
'杭州',120.19, 30.26,8.7
'南昌',115.89, 28.68,5.04
'福州',119.3, 26.08,7.12
'广州',113.23, 23.16,12.7
'长沙',113, 28.21,7.04
'海口',110.35, 20.02,2.05
'沈阳',123.38, 41.8,8.11
'长春',125.35, 43.88,7.68
'哈尔滨',126.63, 45.75,10.63
'太原',112.53, 37.87,4.2
'西安',108.95, 34.27,8.47
'北京',116.46, 39.92,19.61
'上海',121.48, 31.22,23.02
'重庆',106.54, 29.59,28.85
'天津',117.2, 39.13,12.94
'呼和浩特',111.65, 40.82,2.87
'南宁',108.33, 22.84,6.66
'银川',106.27, 38.47,1.99
'乌鲁木齐',87.68, 43.77,3.11
'昆明',102.83,24.88,6.43